group,team,group_winner_probability,top_2_probability,top_3_probability,avg_points,avg_goal_difference,avg_goals_for
Group A,Mexico,0.4497,0.75695,0.9436,5.54425,2.49955,5.49415
Group A,Czech Republic,0.3296,0.6476,0.88105,4.9387,1.17995,4.4015
Group A,South Korea,0.18415,0.45045,0.77875,3.97505,-0.21685,3.94055
Group A,South Africa,0.03655,0.145,0.3966,2.153,-3.46265,2.60035
Group B,Switzerland,0.50825,0.7973,0.94545,5.8321,2.71325,5.5418
Group B,Canada,0.298,0.66305,0.9012,4.9363,1.2765,4.6751
Group B,Bosnia & Herzegovina,0.15145,0.38615,0.7188,3.5848,-0.7377,3.45935
Group B,Qatar,0.0423,0.1535,0.43455,2.3,-3.25205,2.77585
Group C,Brazil,0.55525,0.85915,0.9745,6.2778,3.38925,5.83325
Group C,Morocco,0.3392,0.74485,0.9409,5.3992,1.92105,4.882
Group C,Scotland,0.0873,0.30605,0.7403,3.34245,-1.1461,3.2073
Group C,Haiti,0.01825,0.08995,0.3443,1.69755,-4.1642,2.0763
Group D,Turkey,0.45,0.72025,0.8922,5.34055,1.7491,4.6086
Group D,USA,0.27645,0.58445,0.829,4.54025,0.5851,4.1748
Group D,Paraguay,0.1399,0.35685,0.65765,3.36705,-1.08095,3.1368
Group D,Australia,0.13365,0.33845,0.62115,3.20305,-1.25325,3.01495
Group E,Germany,0.5321,0.8248,0.96225,6.09315,3.14865,6.0473
Group E,Ecuador,0.30665,0.67565,0.9194,5.0644,1.55525,5.08685
Group E,Ivory Coast,0.1388,0.3945,0.76805,3.7343,-0.64105,3.8571
Group E,Curaçao,0.02245,0.10505,0.3503,1.83525,-4.06285,2.35735
Group F,Netherlands,0.44175,0.7773,0.9452,5.7066,2.4794,5.59075
Group F,Japan,0.413,0.7527,0.9361,5.52765,2.25415,5.57425
Group F,Sweden,0.11695,0.3543,0.74905,3.5412,-0.9657,3.6504
Group F,Tunisia,0.0283,0.1157,0.36965,1.91945,-3.76785,2.46605
Group G,Belgium,0.60265,0.85885,0.9782,6.4004,3.53,5.769
Group G,Iran,0.1982,0.53415,0.87055,4.3957,0.4893,4.13275
Group G,Egypt,0.1858,0.52695,0.87925,4.3599,0.33095,4.05925
Group G,New Zealand,0.01335,0.08005,0.272,1.52875,-4.35025,1.9853
Group H,Spain,0.71005,0.9341,0.98705,7.04055,4.7494,6.9405
Group H,Uruguay,0.2292,0.7295,0.92625,5.08,1.4149,4.97575
Group H,Cape Verde,0.03225,0.1711,0.56445,2.41135,-3.11165,2.87305
Group H,Saudi Arabia,0.0285,0.1653,0.52225,2.2867,-3.05265,2.55525
Group I,France,0.62405,0.87335,0.97645,6.4963,3.68615,6.02085
Group I,Norway,0.2271,0.6123,0.8908,4.67985,0.87555,4.47695
Group I,Senegal,0.12845,0.41035,0.8062,3.8175,-0.52065,3.70495
Group I,Iraq,0.0204,0.104,0.32655,1.70375,-4.04105,2.23645
Group J,Argentina,0.6851,0.9116,0.985,6.8716,4.49765,6.7795
Group J,Austria,0.2112,0.6499,0.92145,4.828,1.10385,4.7167
Group J,Algeria,0.0915,0.3641,0.80025,3.59095,-0.96595,3.55145
Group J,Jordan,0.0122,0.0744,0.2933,1.5191,-4.63555,2.1104
Group K,Portugal,0.5824,0.8813,0.9721,6.3997,3.5487,5.9556
Group K,Colombia,0.3361,0.7659,0.9348,5.351,1.8474,4.89025
Group K,DR Congo,0.04415,0.1797,0.5489,2.4632,-2.752,2.63325
Group K,Uzbekistan,0.03735,0.1731,0.5442,2.45835,-2.6441,2.4013
Group L,England,0.71255,0.9406,0.9907,7.0421,4.87995,6.91655
Group L,Croatia,0.23275,0.7264,0.9314,5.03085,1.35695,4.507
Group L,Panama,0.04085,0.22425,0.63115,2.7332,-2.28355,2.7836
Group L,Ghana,0.01385,0.10875,0.44675,1.98045,-3.95335,2.19805
